iter	Passed	Remaining
0	3	733
1	6	624
2	8	566
3	11	541
4	13	515
5	15	498
6	17	485
7	19	472
8	22	487
9	24	473
10	26	459
11	28	446
12	30	440
13	32	435
14	34	428
15	36	422
16	38	419
17	41	420
18	43	414
19	45	411
20	47	405
21	49	401
22	51	397
23	53	394
24	55	390
25	57	387
26	60	384
27	63	390
28	65	387
29	67	385
30	70	383
31	72	381
32	74	377
33	76	374
34	78	371
35	82	378
36	86	382
37	89	380
38	91	377
39	93	374
40	95	371
41	98	369
42	100	367
43	103	366
44	105	363
45	107	361
46	110	359
47	112	356
48	114	353
49	116	350
50	118	347
51	120	344
52	124	344
53	126	341
54	128	337
55	130	334
56	132	332
57	134	329
58	137	327
59	139	325
60	141	323
61	145	323
62	148	321
63	150	320
64	153	319
65	156	317
66	158	314
67	160	312
68	163	310
69	167	310
70	169	308
71	172	306
72	175	304
73	177	302
74	180	300
75	182	298
76	185	295
77	188	294
78	190	292
79	193	289
80	195	286
81	197	283
82	199	280
83	201	277
84	203	275
85	205	272
86	207	269
87	210	267
88	212	264
89	214	262
90	216	259
91	218	257
92	221	254
93	223	251
94	225	248
95	227	246
96	231	245
97	233	243
98	235	240
99	237	237
100	239	235
101	241	232
102	243	229
103	246	227
104	248	224
105	250	221
106	253	220
107	256	218
108	258	215
109	260	212
110	262	210
111	264	207
112	266	205
113	268	202
114	271	200
115	274	198
116	276	196
117	278	193
118	280	191
119	282	188
120	285	186
121	287	183
122	289	181
123	291	178
124	293	175
125	296	174
126	298	171
127	300	169
128	303	166
129	305	164
130	307	161
131	309	159
132	311	156
133	313	154
134	315	151
135	319	150
136	321	147
137	323	145
138	325	142
139	327	140
140	329	138
141	331	135
142	334	133
143	336	130
144	339	128
145	341	126
146	343	123
147	345	121
148	347	118
149	349	116
150	351	114
151	354	111
152	356	109
153	358	107
154	363	105
155	365	103
156	367	100
157	369	98
158	371	95
159	374	93
160	376	91
161	378	88
162	381	86
163	383	84
164	385	81
165	387	79
166	389	76
167	391	74
168	393	72
169	395	69
170	397	67
171	400	65
172	402	62
173	405	60
174	406	58
175	408	55
176	410	53
177	413	51
178	415	48
179	417	46
180	419	43
181	421	41
182	423	39
183	425	37
184	428	34
185	430	32
186	432	30
187	434	27
188	436	25
189	438	23
190	441	20
191	443	18
192	445	16
193	448	13
194	450	11
195	452	9
196	454	6
197	456	4
198	458	2
199	460	0
