Player,ContextType,ContextValue,FG_PCT
Precious Achiuwa,TouchTime,Touch < 2 Seconds,0.528
Precious Achiuwa,TouchTime,Touch 2-6 Seconds,0.465
Precious Achiuwa,TouchTime,Touch 6+ Seconds,0.333
Precious Achiuwa,DribbleRange,0 Dribbles,0.5
Precious Achiuwa,DribbleRange,1 Dribble,0.622
Precious Achiuwa,DribbleRange,2 Dribbles,0.471
Precious Achiuwa,DribbleRange,3-6 Dribbles,0.463
Precious Achiuwa,DribbleRange,7+ Dribbles,0.3
Precious Achiuwa,DefenderDistance,0-2 Feet - Very Tight,0.472
Precious Achiuwa,DefenderDistance,2-4 Feet - Tight,0.516
Precious Achiuwa,DefenderDistance,4-6 Feet - Open,0.549
Precious Achiuwa,DefenderDistance,6+ Feet - Wide Open,0.353
Precious Achiuwa,ShotClock,24-22,0.483
Precious Achiuwa,ShotClock,22-18 Very Early,0.576
Precious Achiuwa,ShotClock,18-15 Early,0.6
Precious Achiuwa,ShotClock,15-7 Average,0.521
Precious Achiuwa,ShotClock,7-4 Late,0.4
Precious Achiuwa,ShotClock,4-0 Very Late,0.389
Bam Adebayo,TouchTime,Touch < 2 Seconds,0.518
Bam Adebayo,TouchTime,Touch 2-6 Seconds,0.461
Bam Adebayo,TouchTime,Touch 6+ Seconds,0.418
Bam Adebayo,DribbleRange,0 Dribbles,0.518
Bam Adebayo,DribbleRange,1 Dribble,0.507
Bam Adebayo,DribbleRange,2 Dribbles,0.538
Bam Adebayo,DribbleRange,3-6 Dribbles,0.33
Bam Adebayo,DribbleRange,7+ Dribbles,0.522
Bam Adebayo,DefenderDistance,0-2 Feet - Very Tight,0.518
Bam Adebayo,DefenderDistance,2-4 Feet - Tight,0.523
Bam Adebayo,DefenderDistance,4-6 Feet - Open,0.456
Bam Adebayo,DefenderDistance,6+ Feet - Wide Open,0.444
Bam Adebayo,ShotClock,24-22,0.638
Bam Adebayo,ShotClock,22-18 Very Early,0.586
Bam Adebayo,ShotClock,18-15 Early,0.468
Bam Adebayo,ShotClock,15-7 Average,0.496
Bam Adebayo,ShotClock,7-4 Late,0.453
Bam Adebayo,ShotClock,4-0 Very Late,0.395
Santi Aldama,TouchTime,Touch < 2 Seconds,0.484
Santi Aldama,TouchTime,Touch 2-6 Seconds,0.482
Santi Aldama,TouchTime,Touch 6+ Seconds,0.538
Santi Aldama,DribbleRange,0 Dribbles,0.475
Santi Aldama,DribbleRange,1 Dribble,0.528
Santi Aldama,DribbleRange,2 Dribbles,0.469
Santi Aldama,DribbleRange,3-6 Dribbles,0.525
Santi Aldama,DribbleRange,7+ Dribbles,0.429
Santi Aldama,DefenderDistance,0-2 Feet - Very Tight,0.455
Santi Aldama,DefenderDistance,2-4 Feet - Tight,0.558
Santi Aldama,DefenderDistance,4-6 Feet - Open,0.462
Santi Aldama,DefenderDistance,6+ Feet - Wide Open,0.436
Santi Aldama,ShotClock,24-22,0.703
Santi Aldama,ShotClock,22-18 Very Early,0.561
Santi Aldama,ShotClock,18-15 Early,0.51
Santi Aldama,ShotClock,15-7 Average,0.421
Santi Aldama,ShotClock,7-4 Late,0.489
Santi Aldama,ShotClock,4-0 Very Late,0.341
Grayson Allen,TouchTime,Touch < 2 Seconds,0.447
Grayson Allen,TouchTime,Touch 2-6 Seconds,0.467
Grayson Allen,TouchTime,Touch 6+ Seconds,0.348
Grayson Allen,DribbleRange,0 Dribbles,0.447
Grayson Allen,DribbleRange,1 Dribble,0.471
Grayson Allen,DribbleRange,2 Dribbles,0.468
Grayson Allen,DribbleRange,3-6 Dribbles,0.448
Grayson Allen,DribbleRange,7+ Dribbles,0.286
Grayson Allen,DefenderDistance,0-2 Feet - Very Tight,0.357
Grayson Allen,DefenderDistance,2-4 Feet - Tight,0.391
Grayson Allen,DefenderDistance,4-6 Feet - Open,0.464
Grayson Allen,DefenderDistance,6+ Feet - Wide Open,0.465
Grayson Allen,ShotClock,24-22,0.857
Grayson Allen,ShotClock,22-18 Very Early,0.446
