PLAYER_NAME,Total_Shots,Total_Points,Total_xP,TEAM_NAME,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed,Team
Alondes Williams,2,5,2.3061678,Detroit Pistons,2.6938321590423584,1.1530839204788208,1.3469160795211792,1,DET
Jahmir Young,5,9,5.4156685,Chicago Bulls,3.584331512451172,1.0831336975097656,0.7168663024902344,6,CHI
P.J. Tucker,4,6,3.4082062,New York Knicks,2.5917937755584717,0.8520515561103821,0.6479484438896179,3,NYK
PJ Dozier,2,3,2.0722852,Minnesota Timberwolves,0.9277148246765136,1.0361425876617432,0.4638574123382568,9,MIN
Daeqwon Plowden,24,38,28.918516,Atlanta Hawks,9.081483840942385,1.2049381732940674,0.3783951600392659,6,ATL
Skal Labissiere,4,5,3.7551627,Sacramento Kings,1.2448372840881348,0.9387906789779664,0.3112093210220337,4,SAC
Keshad Johnson,24,37,29.97205,Miami Heat,7.027950286865234,1.2488354047139485,0.2928312619527181,16,MIA
Bobi Klintman,9,12,9.560662,Detroit Pistons,2.439337730407715,1.0622958077324762,0.2710375256008572,8,DET
Patrick Baldwin Jr.,30,41,32.969765,Washington Wizards,8.030235290527344,1.098992156982422,0.2676745096842448,24,LAC
E.J. Liddell,15,19,15.413021,Chicago Bulls,3.5869789123535156,1.0275347391764322,0.2391319274902343,12,CHI
Ty Jerome,591,717,579.7498,Cleveland Cavaliers,137.25018310546875,0.980964157181948,0.2322338123611992,70,CLE
Nikola Jokić,1323,1675,1375.6941,Denver Nuggets,299.305908203125,1.0398292455002835,0.2262327348474112,70,DEN
Payton Pritchard,832,1027,856.4504,Boston Celtics,170.54962158203125,1.0293874740600586,0.2049875259399414,80,BOS
Alex Reese,49,64,54.770287,Philadelphia 76ers,9.229713439941406,1.1177609502052774,0.1883614987743144,15,PHI
Kevin Durant,1071,1261,1060.5286,Phoenix Suns,200.471435546875,0.9902227492559524,0.1871815457954015,62,PHX
Seth Curry,327,389,328.17932,Charlotte Hornets,60.8206787109375,1.0036064871225152,0.1859959593606651,68,CHA
Bol Bol,172,214,183.97372,Phoenix Suns,30.026275634765625,1.0696146765420602,0.1745713699695676,36,PHX
Luke Kennard,415,501,430.8764,Memphis Grizzlies,70.12359619140625,1.038256394719503,0.1689725209431476,65,MEM
AJ Green,391,480,414.2004,Milwaukee Bucks,65.79959106445312,1.0593360842341353,0.1682853991418238,73,MIL
N'Faly Dante,13,20,17.816282,Houston Rockets,2.183717727661133,1.3704832517183745,0.167978286743164,4,HOU
Jeff Green,111,143,124.46929,Houston Rockets,18.53070831298828,1.1213449701532587,0.1669433181350295,32,HOU
Sam Hauser,453,562,488.97073,Boston Celtics,73.02926635742188,1.0794055930299735,0.16121250851528,71,BOS
Keon Ellis,441,551,481.4301,Sacramento Kings,69.56988525390625,1.091678264730371,0.1577548418455924,80,SAC
Tyrese Haliburton,973,1131,980.0624,Indiana Pacers,150.9376220703125,1.0072583534734711,0.1551260247382451,73,IND
Aaron Nesmith,355,440,385.24323,Indiana Pacers,54.75677490234375,1.0851921833736795,0.1542444363446302,45,IND
Doug McDermott,112,138,121.07803,Sacramento Kings,16.921966552734375,1.0810538700648715,0.1510889870779855,42,SAC
Jordan McLaughlin,67,79,68.9046,San Antonio Spurs,10.09539794921875,1.0284268962803171,0.1506775813316231,46,SAS
Nicolas Batum,217,269,238.6613,LA Clippers,30.338699340820312,1.0998216620238694,0.1398096743816604,78,LAC
Brice Sensabaugh,560,659,581.24084,Utah Jazz,77.7591552734375,1.0379300798688615,0.1388556344168526,71,UTA
Larry Nance Jr.,141,187,167.4537,Atlanta Hawks,19.546295166015625,1.1876149279005983,0.1386262068511746,24,ATL
Isaac Jones,75,101,90.74055,Sacramento Kings,10.25945281982422,1.2098739624023438,0.1367927042643229,40,SAC
Tony Bradley,45,59,52.92353,Indiana Pacers,6.076469421386719,1.1760784573025174,0.1350326538085937,14,IND
Harrison Barnes,628,788,704.7188,San Antonio Spurs,83.28118896484375,1.1221637118394208,0.1326133582242734,82,SAS
Norman Powell,910,1063,943.28217,LA Clippers,119.71783447265624,1.0365738082718063,0.1315580598600618,60,LAC
Zach LaVine,1146,1376,1225.6715,Sacramento Kings,150.3284912109375,1.0695213863778903,0.1311766939013416,74,SAC
Nikola Vučević,1010,1190,1058.0112,Chicago Bulls,131.98876953125,1.0475358717512375,0.1306819500309406,73,CHI
Aaron Holiday,256,294,260.78137,Houston Rockets,33.2186279296875,1.0186772346496582,0.1297602653503418,62,HOU
Matisse Thybulle,82,100,89.54108,Portland Trail Blazers,10.45892333984375,1.0919643495141007,0.1275478456078506,15,POR
Grayson Allen,452,539,481.50537,Phoenix Suns,57.49462890625,1.0652773696764382,0.1272005064297566,64,PHX
Dru Smith,56,67,59.90988,Miami Heat,7.090118408203125,1.0698193141392298,0.1266092572893415,14,MIA
Vít Krejčí,260,318,285.556,Atlanta Hawks,32.444000244140625,1.0982923067533052,0.1247846163236177,57,ATL
Stephen Curry,1231,1410,1257.6674,Golden State Warriors,152.3326416015625,1.0216631668549452,0.1237470687258834,70,GSW
Alec Burks,222,265,237.67151,Miami Heat,27.3284912109375,1.070592381932714,0.1231013117609797,49,MIA
Jackson Rowe,16,19,17.058756,Golden State Warriors,1.941244125366211,1.0661722421646118,0.1213277578353881,6,GSW
Tyler Smith,46,58,52.443214,Milwaukee Bucks,5.556785583496094,1.14006987861965,0.1207996865977411,23,MIL
Isaiah Joe,538,635,570.4294,Oklahoma City Thunder,64.57061767578125,1.0602776623126742,0.1200197354568424,74,OKC
Kylor Kelley,21,28,25.480724,New Orleans Pelicans,2.519275665283203,1.2133678254627047,0.1199655078706287,11,NOP
Khris Middleton,317,346,308.00473,Washington Wizards,37.995269775390625,0.9716237546517644,0.1198588951905067,37,WAS
Bradley Beal,659,750,673.4839,Phoenix Suns,76.51611328125,1.02197858379173,0.1161094283478755,53,PHX
Pete Nance,30,37,33.54347,Philadelphia 76ers,3.456531524658203,1.1181156158447263,0.1152177174886067,13,MIL
Tyler Herro,1319,1486,1335.5369,Miami Heat,150.463134765625,1.012537426258055,0.114073642733605,77,MIA
Kai Jones,102,161,149.4889,LA Clippers,11.511093139648438,1.4655775182387407,0.1128538543102787,40,DAL
